,0
639,ENSG00000108179
640,ENSG00000134809
641,ENSG00000087586
642,ENSG00000144136
643,ENSG00000104549
644,ENSG00000187514
645,ENSG00000159147
646,ENSG00000108468
647,ENSG00000179750
648,ENSG00000113732
649,ENSG00000173674
650,ENSG00000169607
651,ENSG00000115392
652,ENSG00000156976
653,ENSG00000197061
654,ENSG00000161547
655,ENSG00000137207
656,ENSG00000176101
657,ENSG00000143256
658,ENSG00000110092
659,ENSG00000112297
660,ENSG00000090889
661,ENSG00000136861
662,ENSG00000068489
663,ENSG00000197451
664,ENSG00000143321
665,ENSG00000163535
666,ENSG00000196754
667,ENSG00000115758
668,ENSG00000144320
669,ENSG00000143815
670,ENSG00000104368
671,ENSG00000182010
672,ENSG00000176208
673,ENSG00000163453
674,ENSG00000213626
675,ENSG00000140157
676,ENSG00000163584
677,ENSG00000102054
678,ENSG00000172795
679,ENSG00000113140
680,ENSG00000092820
681,ENSG00000161980
682,ENSG00000173272
683,ENSG00000156508
684,ENSG00000134291
685,ENSG00000029993
686,ENSG00000092853
687,ENSG00000158417
688,ENSG00000100612
689,ENSG00000116670
690,ENSG00000005022
691,ENSG00000109805
692,ENSG00000135441
693,ENSG00000143401
694,ENSG00000169689
695,ENSG00000178999
696,ENSG00000163171
697,ENSG00000162385
698,ENSG00000198887
699,ENSG00000145833
700,ENSG00000165898
701,ENSG00000143621
702,ENSG00000115091
703,ENSG00000070010
704,ENSG00000047634
705,ENSG00000159840
706,ENSG00000121774
707,ENSG00000115641
708,ENSG00000167552
709,ENSG00000137807
710,ENSG00000171208
711,ENSG00000167670
712,ENSG00000130520
713,ENSG00000102804
714,ENSG00000108010
715,ENSG00000127483
716,ENSG00000120697
717,ENSG00000134001
718,ENSG00000109084
719,ENSG00000120053
720,ENSG00000076248
721,ENSG00000177606
722,ENSG00000082996
723,ENSG00000119185
724,ENSG00000091436
725,ENSG00000115484
726,ENSG00000171241
727,ENSG00000164056
728,ENSG00000105767
729,ENSG00000090686
730,ENSG00000134690
731,ENSG00000056050
732,ENSG00000139354
733,ENSG00000166582
734,ENSG00000116209
735,ENSG00000115816
736,ENSG00000243449
737,ENSG00000165501
738,ENSG00000148019
739,ENSG00000006625
740,ENSG00000137776
741,ENSG00000122034
742,ENSG00000069849
743,ENSG00000177917
744,ENSG00000107438
745,ENSG00000105223
746,ENSG00000072571
747,ENSG00000138182
748,ENSG00000087494
749,ENSG00000170779
750,ENSG00000147223
751,ENSG00000138180
752,ENSG00000137547
753,ENSG00000106366
754,ENSG00000189403
755,ENSG00000198830
756,ENSG00000197746
757,ENSG00000135318
758,ENSG00000148154
759,ENSG00000006042
760,ENSG00000104738
761,ENSG00000148677
762,ENSG00000137509
763,ENSG00000071054
764,ENSG00000106236
765,ENSG00000145354
766,ENSG00000078674
767,ENSG00000163507
768,ENSG00000105323
769,ENSG00000103540
770,ENSG00000145632
771,ENSG00000128294
772,ENSG00000188643
773,ENSG00000143228
774,ENSG00000117697
775,ENSG00000040275
776,ENSG00000114784
777,ENSG00000106462
778,ENSG00000184661
779,ENSG00000067064
780,ENSG00000137100
781,ENSG00000117399
782,ENSG00000164754
783,ENSG00000167461
784,ENSG00000132429
785,ENSG00000143183
786,ENSG00000143631
787,ENSG00000160298
788,ENSG00000203760
789,ENSG00000142864
790,ENSG00000057019
791,ENSG00000136518
792,ENSG00000085063
793,ENSG00000110492
794,ENSG00000173598
795,ENSG00000153048
796,ENSG00000160789
797,ENSG00000133818
798,ENSG00000166347
799,ENSG00000051180
800,ENSG00000123136
801,ENSG00000183527
802,ENSG00000102172
803,ENSG00000165996
804,ENSG00000058272
805,ENSG00000141030
806,ENSG00000122483
807,ENSG00000132718
808,ENSG00000101447
809,ENSG00000135446
810,ENSG00000173207
811,ENSG00000136938
812,ENSG00000185222
813,ENSG00000119333
814,ENSG00000204287
815,ENSG00000225783
816,ENSG00000025770
817,ENSG00000173114
818,ENSG00000163923
819,ENSG00000138678
820,ENSG00000185262
821,ENSG00000164611
822,ENSG00000078668
823,ENSG00000115875
824,ENSG00000104408
825,ENSG00000114942
826,ENSG00000080822
827,ENSG00000214706
828,ENSG00000106484
829,ENSG00000111639
830,ENSG00000136108
831,ENSG00000135617
832,ENSG00000153044
833,ENSG00000177426
834,ENSG00000124575
835,ENSG00000141552
836,ENSG00000171476
837,ENSG00000206503
838,ENSG00000125931
839,ENSG00000125835
840,ENSG00000116560
841,ENSG00000144381
842,ENSG00000136997
843,ENSG00000204899
844,ENSG00000144560
845,ENSG00000166851
846,ENSG00000114115
847,ENSG00000164032
848,ENSG00000051108
849,ENSG00000173917
850,ENSG00000127337
851,ENSG00000081870
852,ENSG00000173456
853,ENSG00000131747
854,ENSG00000129197
855,ENSG00000137812
856,ENSG00000091651
857,ENSG00000168298
858,ENSG00000164104
859,ENSG00000140319
860,ENSG00000164106
861,ENSG00000101955
862,ENSG00000213190
863,ENSG00000149591
864,ENSG00000175606
865,ENSG00000114107
866,ENSG00000137210
867,ENSG00000204381
868,ENSG00000167775
869,ENSG00000156802
870,ENSG00000137804
871,ENSG00000099622
872,ENSG00000100567
